文章标识符aid,标题title,链接url,时间time
"2650686549_2","AI超脑机车战台风，守护城市电力安全","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686549&idx=2&sn=9b1441e273c7648894a0c525b8d73193&chksm=be4800c3893f89d501ce886adbd33567557b5c819a62039ed9cf50d82926f6598384c988c559#rd","1753927117"
"2650686540_1","WAIC大热的背后，聊聊企业为什么“爱”上海","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686540&idx=1&sn=006c13a0711b79135438a65a6b1e5f05&chksm=be4800da893f89cc821690b77b41af2d249b07b48783f9e9cfc787c33ed3c7b2daaa1b825474#rd","1753878436"
"2650686540_2","投资惠客厅②｜魔都产业生态一日CityWalk","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686540&idx=2&sn=222d58f9c2bd064742a6ecdd6774b355&chksm=be4800da893f89ccfd6706e67f35ade79268dbde7ed0a63140bdaf7b2e39ea991b1be3eefba2#rd","1753878436"
"2650686540_3","关于开展第二批制造业人才支持计划申报推荐工作的通知","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686540&idx=3&sn=a0b3dd0b38fa080219166bb3a4d94bf2&chksm=be4800da893f89ccc310fa739791e935d39e06b46c0dcb1f8a4d15832a12bd7eab3874f855ba#rd","1753878436"
"2650686447_1","AI赋能 智绘新型工业化新图景——中国移动AI＋新型工业化创新研究院正式成立","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686447&idx=1&sn=149edbb666353be4c369a83738d40f1e&chksm=be480779893f8e6f06f80c87f7a8bfcde33bceeceb08dbe5aef20f1c382b6e0f5de211bd8378#rd","1753874261"
"2650686447_2","以永远在路上的坚韧和执着推进全面从严治党｜深入贯彻中央八项规定精神学习教育专栏","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686447&idx=2&sn=b2002c0e353394f4bdb8a426d7dd0297&chksm=be480779893f8e6f96010047ec75a0e49914b5769848f778c7a700171bcde62816c85a9945ea#rd","1753874261"
"2650686447_3","2025年上海市经济信息化委“政府开放月”活动预告","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686447&idx=3&sn=f1346244889dc31d7ff6a5a7290a6db9&chksm=be480779893f8e6f61fd2656903472c6d5114d3d59a2bad802834144a0451693c5ac4be749d2#rd","1753874261"
"2650686413_1","市经信机关二百多名志愿者全力保障服务大会举办","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686413&idx=1&sn=c0b0c9a7dbf816713deaa050744a040d&chksm=be48075b893f8e4da3d77ca900993c32499764989a54bf152a20d48b2a220d7ed90e83cdfa8a#rd","1753856505"
"2650686413_2","解读科创板新政  赋能企业上市路——“沪企行”百家中小企业改制上市培育系列培训第47期开班","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686413&idx=2&sn=c8700d7d68a6fdfa9c8fdd5a889d6c10&chksm=be48075b893f8e4d01bdb4e220c5e51d12fcaefe66fd689f8ea3b23c76c96b33b7c62feb93e1#rd","1753856505"
"2650686377_1","青年菁英会｜ WAIC 2025以青春之力，筑AI学术新高峰：中国青年菁英共议学术破局之道","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686377&idx=1&sn=d8ae6a39cb178e598068474a271da274&chksm=be48073f893f8e2975acca59fda43d5465a656deb57a342d0f2af9bd12e0c274e0cafcd09d78#rd","1753790635"
"2650686375_1","工银上海人工智能产业发展生态伙伴行动计划成功启动","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686375&idx=1&sn=8690462f0fe1accdc3171c78ee624107&chksm=be480731893f8e277d2794cfc4a579e981c952311dfd7a430fdbc58f12663497d896fe13bfb7#rd","1753789800"
"2650686374_1","勇攀人工智能高水平赋能新型工业化“智”高点——市经信工作党委组织理论学习中心组扩大学习","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686374&idx=1&sn=f44849616f1ec50405e1c323d84a6978&chksm=be480730893f8e26faac6b4c996df374db66a4707cccef39a955317c4ef7158f562d01565d6b#rd","1753788574"
"2650686373_1","WAIC 2025人工智能标准化国际合作论坛在沪成功举办","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686373&idx=1&sn=548310e9a03190f81da797e37791154c&chksm=be480733893f8e2524e26814ad4a4e31861068c7f4a7c9dd5207b121f4648e667a1c1e057af2#rd","1753785289"
"2650686369_1","2025年全国工业和信息化主管部门负责同志座谈会在京召开","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686369&idx=1&sn=237c181a4edccc91ffdb0b52abdb2804&chksm=be480737893f8e21e130d76d7db34ade87ca477fc0c35f40dacc6d70e9bc49a2612296eb0a78#rd","1753784038"
"2650686364_1","投资惠客厅① ｜害！别担心，来就行了","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686364&idx=1&sn=6811455971aae7379b1e703a04436048&chksm=be48070a893f8e1c23f9a34dd4b3af0ddd676ba0aa6c0e7c060d89370899699bf302856e3749#rd","1753783354"
"2650686353_1","2025世界人工智能大会两岸人工智能融合发展创新论坛及展览展示活动在沪举办","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686353&idx=1&sn=a96f5607cd63565a1b4b7e7b08b581e4&chksm=be480707893f8e1114ea5419bbc8d9892dfbc9284c4c54313c849f093c4781f2fd497c07b4af#rd","1753780385"
"2650686338_1","高桥石化变电站里的“硬核科技”｜一线传真","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686338&idx=1&sn=a7db7ec5eba14b27c45e374b0383b872&chksm=be480714893f8e02e8e97860ab382dc41719d00e68016fb84ebea690171c1c67de45f312f32e#rd","1753778843"
"2650686337_1","徐汇AI“生态雨林”吸睛世界！百余款“全球首发”“中国首秀”在此闪耀｜世界人工智能大会","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686337&idx=1&sn=4b63c8f038a9f8a6ee62b6ea7ca379f1&chksm=be480717893f8e01b1820313e4cad193842ad1e37cd80caa9b51fdcb9c98ed73072f6c75b271#rd","1753778262"
"2650686336_1","“AI+工业互联网”加速航天智造链上跃升|工赋上海·链主","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686336&idx=1&sn=5cf803028b8744ba6eb3a5761c516517&chksm=be480716893f8e00b10b5e3af29acb22330b3054539a4df54f0273acb15ebd77e8f304672eee#rd","1753777251"
"2650686330_1","第四届通信海缆保护政策宣传周开启","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686330&idx=1&sn=dc40abb21ee2d7dc9da471a5f0f2b5e8&chksm=be4807ec893f8efabbc08d163071f1dbf08641d12a44293664a940bf66e3c5b61cf3fd676c0f#rd","1753775601"
"2650686326_1","“智算云启 共绘生态”——上海市智能算力资源统筹调度服务平台2.0正式发布","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686326&idx=1&sn=407b5523b9dba0e1f78b155a4f694822&chksm=be4807e0893f8ef63243f4cb0cbe37def263e990b4453973bf125ddbe49f190dc546379d3b94#rd","1753774264"
"2650686319_1","上海市无线电管理机构圆满完成2025世界人工智能大会无线电安全保障","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686319&idx=1&sn=ea9b1664386d0753908f33a28e15ec1b&chksm=be4807f9893f8eef2f185027c20a66a493f275e90cb0fe7aeb89bc2b053a237ac0f85afe10b2#rd","1753772164"
"2650686313_1","“上海有AI  智惠全城”！全国首张城市信息化名片“智云上海”正式发布","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686313&idx=1&sn=770ce69c18b5f9dc3b787e506040b039&chksm=be4807ff893f8ee9bcbfc26e9ac32159d475428f9746df63c9e14c4d0e25c28c23619a319d2a#rd","1753771696"
"2650686294_1","WAIC closes with record attendance, major AI announcements","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686294&idx=1&sn=5a810f4382b9e966fad29986780f8560&chksm=be4807c0893f8ed66ea06b18e9200f88a10e0a6932401b4a98612dd71a118ca4874d556a9731#rd","1753769525"
"2650686288_1","接英雄帖，破AI关！青年对话，扛鼎“年轻的事业”｜世界人工智能大会","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686288&idx=1&sn=eaddb63e553a27e98c9c0f239d424dcd&chksm=be4807c6893f8ed0007750b9870034b70d16c5f9c2d0621a73faf278dcf64d07adaac1e74c2b#rd","1753768732"
"2650686267_1","WAIC最“火爆”的展区，“浦东人形机器人”战队捷报频传","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686267&idx=1&sn=81088dc27602794e94e23440a093103a&chksm=be4807ad893f8ebb44dc7c4a86f0e08273c1eb746a1d06fa8a622ff4108d9b38c5610b250c67#rd","1753762776"
"2650686266_1","全球青年海归展开科技对话，共谱AI创新“最强音”｜世界人工智能大会","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686266&idx=1&sn=35e91da0b221bccec4bf0b4c8dcf2e71&chksm=be4807ac893f8ebad4415c60524a86b64fc92930ba1292c8eb265c4f065f9f6addc13a340dc9#rd","1753761837"
"2650686264_1","“共赢金砖”论坛在徐汇举办，助力实现数字化转型高质量发展｜世界人工智能大会","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686264&idx=1&sn=6d0f5be87dee44def19a3f4b95a74530&chksm=be4807ae893f8eb8e83f597294ba75c57c96edbc6b90f9e41b5e14868f657163c7bde8d8406e#rd","1753759278"
"2650686254_1","关于组织开展2025年度科学智能“百团百项”专项申报工作的通知","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686254&idx=1&sn=b897abc56479b7308ef7bddaf59276f1&chksm=be4807b8893f8eae0e562329de8d6be676a9a81a8c819afa94f5164f1f50189e424f7ea762a9#rd","1753758729"
"2650686244_1","AI三问：提问者也要争当先行者","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686244&idx=1&sn=3278a70faa129a34d89f1730a2990ec2&chksm=be4807b2893f8ea4fbb073d2d45a6ef2fe348b3f6f5b69e48e34b0acf2990c90bc8687015254#rd","1753757968"
"2650686243_1","强化“场景供给”，模力社区将“秀场”搭进WAIC展区","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686243&idx=1&sn=d4f8f0fb359a87e464366a0e6151b91f&chksm=be4807b5893f8ea33f481dd8c4b1026b325a4505c3bf2715c4f48ab4fa14d2c922775cecac14#rd","1753757498"
"2650686242_1","关于印发《上海市进一步扩大人工智能应用的若干措施》的通知","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686242&idx=1&sn=dae511622c0fe2367bfcdb91f6b53a9c&chksm=be4807b4893f8ea2daa22161727d6648eb799b0282377ca37ff5c76b94e6d2533db8b3557091#rd","1753756403"
"2650686240_1","上海市“政府开放月”活动五周年！","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686240&idx=1&sn=e82562ed744ddbb88fcb1d4ce383d3c6&chksm=be4807b6893f8ea0e8c552bed2bc5901788924a5e4ddff16afd06a931fb8fdd940a638ece60c#rd","1753755870"
"2650686233_1","直击人形机器人“打工”现场！｜世界人工智能大会","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686233&idx=1&sn=90e8491d7f5978e284645306960a3d9f&chksm=be48078f893f8e994f63332a95c8adea798d012611a62cab17e240ca7e9848eb8a53f90028aa#rd","1753754259"
"2650686213_1","擎旗奋进攻关下一代电力系统｜勇立创新潮头·上海产业菁英","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686213&idx=1&sn=b17c830f93170aa2cc2756c17c7e4082&chksm=be480793893f8e85c7732ddd5af3b49a18701d7f67c6f0a03642deaf56321c27cebd390b3f47#rd","1753753209"
"2650686198_1","“中国AI正在定义世界”——2025世界人工智能大会圆满闭幕侧记","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686198&idx=1&sn=51e846d18263d5b155c56f0b5f581a24&chksm=be480660893f8f7638d11e6d51cc12d110823c06ac92bff700a72230c5187fe4255510f0af40#rd","1753752126"
"2650686187_1","2025WAIC首次地下开展，最年轻板块签下2.68亿元意向订单","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686187&idx=1&sn=75ed4bddc0ca28f6a3a062803f46ec46&chksm=be48067d893f8f6b58fe4e27b321be64b8eacf9ceabe2dc1127007874fb414f281707500265a#rd","1753751301"
"2650686182_1","上海，AI的社会主义浪漫","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686182&idx=1&sn=1e8e55f5b1faf842de9d5009d1413f00&chksm=be480670893f8f66a550dbe1cf42afd0ee55f6d52f441090bf084d3cb4f39900965774ea01ec#rd","1753710260"
"2650686181_1","Numbers add up for artificial intelligence","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686181&idx=1&sn=6340ceb7f85ab39b316aeb8a5ee44df2&chksm=be480673893f8f6532993cb36eeb9abcc0bbe6030c7c2a953c18a8ae1b6bf337333e8003e2c7#rd","1753708960"
"2650686140_1","闭幕式 | 2025世界人工智能大会暨人工智能全球治理高级别会议成功举办","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686140&idx=1&sn=52b1850761858f5782523106d1e270a1&chksm=be48062a893f8f3cc306c9f1e667fb530cf6fa323278862b581fa5c2eb47626b060e6b3b4d64#rd","1753707125"
